geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
11431,-23.995738359332897,-46.28346823521056,guaruja,SP
9940,-23.666600996735497,-46.60286793307957,diadema,SP
97300,-30.338974788150463,-54.32764217954711,sao gabriel,RS
9080,-23.640740759362934,-46.54090653967348,santo andre,SP
35430,-20.41280610100307,-42.92090471208115,ponte nova,MG
48020,-12.13319321758641,-38.41557001793101,alagoinhas,BA
8790,-23.52286349794529,-46.16936337473842,mogi das cruzes,SP
74805,-16.69400781173633,-49.23661076453431,goiania,GO
85816,-24.95892384289352,-53.4180614054765,cascavel,PR
4015,-23.58573224562872,-46.64603590521668,sao paulo,SP
9015,-23.663671291159243,-46.5186975777022,santo andre,SP
2022,-23.50486132638933,-46.64175780281599,sao paulo,SP
81880,-25.5366113782965,-49.28601108090484,curitiba,PR
96215,-32.09434566110762,-52.17998284075288,rio grande,RS
1422,-23.56769330114256,-46.6568389797449,são paulo,SP
3084,-23.53467342215357,-46.57048869929014,sao paulo,SP
3759,-23.49948513763132,-46.49142658098352,sao paulo,SP
9950,-23.68772666723403,-46.58369967586103,diadema,SP
13603,-22.34867185206877,-47.40853888190316,araras,SP
8253,-23.55644627808883,-46.437270485977294,sao paulo,SP
6243,-23.504776719302743,-46.798026058346174,osasco,SP
93990,-29.536068831218845,-51.07808533190178,morro reuter,RS
91510,-30.07028062787988,-51.1725136924336,porto alegre,RS
9041,-23.65788863172009,-46.53707147732027,santo andre,SP
12220,-23.184176913074108,-45.860827447844464,sao jose dos campos,SP
12327,-23.2989427920116,-45.96560330119568,jacarei,SP
20735,-22.89960341494021,-43.28216862698362,rio de janeiro,RJ
89120,-26.824034766576307,-49.26592522315191,timbo,SC
18550,-23.287332003109164,-47.68085840529143,boituva,SP
13145,-22.732555075768943,-47.181257486814026,paulinia,SP
80610,-25.475743383288155,-49.29106831057762,curitiba,PR
3161,-23.57810661587513,-46.56278311754856,sao paulo,SP
35590,-20.026428792674924,-45.53691661372175,lagoa da prata,MG
13660,-21.85923167561275,-47.4878238369523,porto ferreira,SP
30421,-19.92872538061541,-43.97396355621798,belo horizonte,MG
95520,-29.889911826245445,-50.27124234197284,osorio,RS
22411,-22.982668576172973,-43.21381863044607,rio de janeiro,RJ
21341,-22.878492234520213,-43.349130511541176,rio de janeiro,RJ
91260,-30.03534550069249,-51.13315164461301,porto alegre,RS
32900,-20.068630527537955,-44.29542841668084,igarapé,MG
25070,-22.787724755738168,-43.3077882328159,duque de caxias,RJ
41830,-13.00294530384267,-38.4635833929587,salvador,BA
26050,-22.6882930772137,-43.45981799025312,nova iguaçu,RJ
12951,-23.12092206994057,-46.582421086184965,atibaia,SP
6754,-23.607385169385037,-46.75295561561509,taboao da serra,SP
30570,-19.96047631724272,-43.97359482667777,belo horizonte,MG
88330,-26.98111188121068,-48.63461404677126,balneario camboriu,SC
9080,-23.637486070488823,-46.54419654258766,santo andre,SP
24310,-22.91587449293086,-43.07144483873857,niteroi,RJ
29060,-20.282645577298165,-40.29902406021705,vitoria,ES
69900,-9.97499781938307,-67.80940552221007,rio branco,AC
13568,-22.017205655288816,-47.85250208283807,sao carlos,SP
38410,-18.938594253719277,-48.25975069648826,uberlândia,MG
6730,-23.637462936616856,-47.02925055434749,vargem grande paulista,SP
6365,-23.556594981992543,-46.84942489675855,carapicuiba,SP
97670,-28.67182650233573,-56.001557640668416,sao borja,RS
9811,-23.722818454065447,-46.56400181072184,sao bernardo do campo,SP
31130,-19.888452398551596,-43.94945474715791,belo horizonte,MG
91180,-30.01528781181837,-51.11089075867046,porto alegre,RS
83880,-26.095958358114174,-49.791677331109696,rio negro,PR
20735,-22.90196398306312,-43.28133271772756,rio de janeiro,RJ
23895,-22.74323686327512,-43.70526783885028,seropedica,RJ
11704,-24.025520258589125,-46.4804170424308,praia grande,SP
41830,-13.004265069940562,-38.46623697530151,salvador,BA
6773,-23.64228248987828,-46.789649609051736,taboao da serra,SP
89580,-27.02386267378519,-50.917557336913056,fraiburgo,SC
90420,-30.037088462115527,-51.1970315456461,porto alegre,RS
17400,-22.200245374511272,-49.66401958715325,garca,SP
13343,-23.104754748542906,-47.20393943005942,indaiatuba,SP
14020,-21.190880682209013,-47.80505806341969,ribeirão preto,SP
24360,-22.91731807201573,-43.09297194888784,niteroi,RJ
38182,-19.599177573976867,-46.92936055229094,araxa,MG
2402,-23.49443570970153,-46.62583149643452,sao paulo,SP
96015,-31.76982863332761,-52.339964159380905,pelotas,RS
84145,-24.94404279922168,-50.13034783135791,carambei,PR
82940,-25.45117581404008,-49.21906273798266,curitiba,PR
1224,-23.5403885276127,-46.65143548612153,sao paulo,SP
37200,-21.259549497922524,-45.0054013462404,lavras,MG
11050,-23.962556703849096,-46.32718817998731,santos,SP
4726,-23.63919548320735,-46.71051143935027,sao paulo,SP
47800,-12.14902483326026,-44.99982811115983,barreiras,BA
7025,-23.484209797166816,-46.54142322472175,guarulhos,SP
44230,-12.399915088576178,-38.75465224269259,amelia rodrigues,BA
85155,-25.57599466066998,-51.0778102706275,inacio martins,PR
12242,-23.197808439696484,-45.8991172047378,são josé dos campos,SP
12940,-23.11660196413393,-46.55279683764716,atibaia,SP
8275,-23.5782749023025,-46.48227790882337,sao paulo,SP
35430,-20.40933364619331,-42.89461686306881,ponte nova,MG
2976,-23.478875528449414,-46.71586584693287,são paulo,SP
4635,-23.6414903252928,-46.66669052207278,sao paulo,SP
68145,-3.458029065020139,-52.88667199048881,medicilandia,PA
2545,-23.48811117346644,-46.66361409977496,sao paulo,SP
20261,-22.92311913656292,-43.21745927240467,rio de janeiro,RJ
83540,-25.18122402532868,-49.31596023575385,rio branco do sul,PR
65075,-2.511034075863792,-44.29515152066988,sao luis,MA
47800,-12.136918299914615,-44.98286449684797,barreiras,BA
1423,-23.57122380544173,-46.65646113197527,sao paulo,SP
84010,-25.101689626146904,-50.16013080489348,ponta grossa,PR
9850,-23.72555607799065,-46.57394150663644,sao bernardo do campo,SP
81900,-25.533223344711192,-49.27575228573488,curitiba,PR
46400,-14.065812141599004,-42.49233001937813,caetite,BA
9960,-23.696323953084494,-46.599484600323215,diadema,SP
19400,-21.8834915242011,-51.853580906425975,presidente venceslau,SP
72015,-15.835151267699732,-48.05077036474141,brasilia,DF
17209,-22.27848141771017,-48.53788215168213,jaú,SP
13720,-21.603032388456608,-46.89258451063976,são josé do rio pardo,SP
64000,-5.081022305049911,-42.8197637891774,teresina,PI
80740,-25.44192626533555,-49.31368625881469,curitiba,PR
12940,-23.114859602571908,-46.558740813795104,atibaia,SP
89801,-27.1011280158612,-52.61202154197206,chapeco,SC
86300,-23.186783600610788,-50.65066795048239,cornelio procopio,PR
2965,-23.484585714773157,-46.70211960464514,sao paulo,SP
6020,-23.53538565178984,-46.76092361691542,osasco,SP
12240,-23.23009940009024,-45.90094499999999,sao jose dos campos,SP
31330,-19.87623292541036,-43.99205679630655,belo horizonte,MG
20930,-22.891705575076458,-43.22233542783772,rio de janeiro,RJ
9360,-23.687772133873327,-46.459259783941896,maua,SP
11900,-24.504100313347585,-47.85539532001268,registro,SP
20720,-22.905523519562617,-43.28752649388315,rio de janeiro,RJ
31130,-19.887523763806342,-43.93886102360199,belo horizonte,MG
13088,-22.866118137847955,-47.04353937360283,campinas,SP
3804,-23.49801039800334,-46.47990507285476,sao paulo,SP
11436,-23.97863018956661,-46.193381853453765,guaruja,SP
9780,-23.712996735053867,-46.53326124621499,sao bernardo do campo,SP
90130,-30.05139037275657,-51.21729548473655,porto alegre,RS
13720,-20.839024177269057,-49.3624165788414,são josé do rio pardo,SP
13820,-22.69323078879953,-46.98563959844999,jaguariuna,SP
56000,-8.060911326112514,-39.1184729110832,salgueiro,PE
5014,-23.53098483217186,-46.66552227867382,sao paulo,SP
73900,-14.076767140668002,-46.3395804043402,posse,GO
84400,-25.2168155583578,-50.97772689782497,prudentopolis,PR
13607,-22.37482862836861,-47.35290626172888,araras,SP
18540,-23.225764492906627,-47.518103325790655,porto feliz,SP
33030,-19.778913028593827,-43.87002605727832,santa luzia,MG
78635,-14.114873999999949,-52.46507599999997,agua boa,MT
22060,-22.978992656673785,-43.190912786571616,rio de janeiro,RJ
76820,-8.740797860315656,-63.8656353544288,porto velho,RO
21031,-22.851087182064788,-43.25445279280401,rio de janeiro,RJ
22411,-22.98100043104037,-43.2062912828207,rio de janeiro,RJ
35900,-19.641138082061488,-43.22518445244074,itabira,MG
56828,-7.718220000000002,-37.850652,quixada,PE
68380,-6.633662991213111,-51.98057967166727,sao felix do xingu,PA
3965,-23.60248697668648,-46.4767777507646,sao paulo,SP
29065,-20.2787775,-40.29986249999999,vitoria,ES
32677,-19.93622349449648,-44.11903136959216,betim,MG
36980,-20.151309371500023,-41.61982921828584,lajinha,MG
32015,-19.9249085613816,-44.098543774101735,contagem,MG
21330,-22.879204867620675,-43.36427153176763,rio de janeiro,RJ
12950,-23.140040515368494,-46.581206610248735,atibaia,SP
7241,-23.44604280121253,-46.4234256410361,guarulhos,SP
9041,-23.666947082982315,-46.5380198336027,santo andre,SP
36016,-21.761608756592988,-43.34969070275257,juiz de fora,MG
65053,-2.5414521756881467,-44.20564905620633,são luís,MA
1313,-23.553335158202994,-46.647744223700165,sao paulo,SP
30421,-19.946861120174297,-43.97100741159334,belo horizonte,MG
24451,-22.83563512107761,-43.00989848175705,sao goncalo,RJ
11730,-24.09972920960817,-46.64180506149343,mongagua,SP
30882,-19.884917524842727,-44.010732829996,belo horizonte,MG
13920,-22.73748001740821,-46.88945147350107,pedreira,SP
7251,-23.439328711350917,-46.39531326602804,guarulhos,SP
35570,-20.44417245698404,-45.45343996053702,formiga,MG
14940,-21.75524479075873,-48.83671114359984,ibitinga,SP
29090,-20.252914923903763,-40.26795106824811,vitoria,ES
36576,-20.74825882208657,-42.86867950069864,viçosa,MG
11900,-24.49677743519532,-47.84420731473257,registro,SP
89107,-26.72651596021395,-49.17081903239281,pomerode,SC
30310,-19.95512404163538,-43.93010581626178,belo horizonte,MG
3191,-23.57015071121419,-46.57044572589511,sao paulo,SP
78300,-14.63297817650873,-57.4992766185712,tangara da serra,MT
22411,-22.98330144546709,-43.20331300582836,rio de janeiro,RJ
20540,-22.924911132667773,-43.25093430030583,rio de janeiro,RJ
14701,-20.950918037465755,-48.484585808569456,bebedouro,SP
6763,-23.61561827032721,-46.762506444774615,taboao da serra,SP
2402,-23.479718951151256,-46.632511331380975,são paulo,SP
83823,-25.661386845957654,-49.2947639471678,fazenda rio grande,PR
4166,-23.634724928713485,-46.605784798555895,sao paulo,SP
41820,-12.987202368861428,-38.46043680599,salvador,BA
37580,-22.43499539028082,-46.57283594701967,monte siao,MG
22785,-22.975744882115205,-43.48573194805582,rio de janeiro,RJ
13603,-22.351805717179307,-47.39709317583238,araras,SP
35300,-19.779846160933936,-42.14232328257363,caratinga,MG
35790,-18.753326288988315,-44.43571681199145,curvelo,MG
25675,-22.49736867562503,-43.20348345580744,petropolis,RJ
35570,-20.462097745702884,-45.43755883640269,formiga,MG
89052,-26.889354200701344,-49.072336692647,blumenau,SC
74280,-16.716596804687068,-49.27090628231917,goiania,GO
18683,-22.60447419307828,-48.81080367422221,lençóis paulista,SP
11060,-23.964946512349247,-46.33382185457892,santos,SP
11730,-24.130840816359424,-46.69527872535312,mongaguá,SP
55590,-8.513553808107575,-35.12160824796783,ipojuca,PE
35500,-20.12266589822975,-44.88819387866278,divinopolis,MG
38400,-18.911977857897156,-48.26362130682671,uberlandia,MG
29055,-20.296136900657725,-40.29471761431724,vitoria,ES
52061,-8.037729256192467,-34.92505206516664,recife,PE
5302,-23.531168661665447,-46.72964587844071,sao paulo,SP
38408,-18.932541852068777,-48.24800161809682,uberlandia,MG
4010,-23.588509505135885,-46.63541014738296,sao paulo,SP
66085,-1.4455611856428048,-48.461924558399375,belém,PA
35198,-19.4109654528872,-42.41128046307838,ipaba,MG
36280,-20.944509357425517,-43.81090123405824,carandaí,MG
36500,-21.12870761067949,-42.94972465375229,uba,MG
4726,-23.634089726645826,-46.71411838581508,sao paulo,SP
11040,-23.971434474609,-46.30950666388714,santos,SP
6900,-23.828363836432057,-46.83431424328455,embu-guacu,SP
37701,-21.787012864176063,-46.56362167326782,pocos de caldas,MG
34003,-19.993112440867247,-43.85478532243872,nova lima,MG
83260,-25.82988736171561,-48.5409383080699,matinhos,PR
30180,-19.932624869235,-43.947778202907976,belo horizonte,MG
1307,-23.555677767413023,-46.65620244186043,sao paulo,SP
5303,-23.52971382569684,-46.72994749985576,são paulo,SP
89600,-27.16953494892955,-51.50920372785512,joacaba,SC
88330,-27.003863999999947,-48.62062699999996,balneario camboriu,SC
11420,-24.009012074688837,-46.27252485086888,guarujá,SP
83540,-25.20531916728173,-49.32552561900278,rio branco do sul,PR
81200,-25.439577987794973,-49.335312981678136,curitiba,PR
4733,-23.632405094918127,-46.69186996887863,são paulo,SP
88047,-27.64998084901036,-48.52215915113389,florianopolis,SC
19025,-22.10051792775128,-51.40022749527926,presidente prudente,SP
88040,-27.600801163694847,-48.51657663243601,florianopolis,SC
1311,-23.56435692062437,-46.65314214876795,são paulo,SP
51020,-8.114870828755254,-34.89663362683939,recife,PE
25680,-22.4927948059606,-43.184177912682266,petropolis,RJ
19804,-22.6630125,-50.43987224999999,assis,SP
80420,-25.437418333891134,-49.277814768798,curitiba,PR
11431,-23.992886472387305,-46.27164761824106,guarujá,SP
90420,-30.037385536211037,-51.19785829808413,porto alegre,RS
88385,-26.771700733776925,-48.64283190441497,penha,SC
51020,-8.111259900917528,-34.896877480985644,recife,PE
30190,-19.923781264498835,-43.94820925188979,belo horizonte,MG
81530,-25.451467660558475,-49.24456951970194,curitiba,PR
4523,-23.60358702997862,-46.666812006665104,sao paulo,SP
7124,-23.431009138496165,-46.533996445322856,guarulhos,SP
25610,-22.504532077286576,-43.167653290716,petropolis,RJ
22061,-22.976918474897463,-43.19620203136361,rio de janeiro,RJ
37120,-21.553132500000004,-45.733790249999984,paraguacu,MG
88058,-27.450267443793663,-48.43228234401869,florianopolis,SC
12701,-22.576583675847772,-44.961974318934416,cruzeiro,SP
9061,-23.653552672225693,-46.5580592710197,santo andre,SP
13385,-22.79999266418786,-47.29167801723588,nova odessa,SP
85801,-24.95821311379766,-53.46190377234737,cascavel,PR
89580,-27.02818111843449,-50.91135669036638,fraiburgo,SC
22410,-22.983773489324182,-43.21397325437127,rio de janeiro,RJ
16012,-21.213799418258443,-50.40588490521668,aracatuba,SP
24421,-22.82432641326078,-43.04928133081032,sao goncalo,RJ
90250,-29.97756124646543,-51.18275590576496,porto alegre,RS
18500,-23.04816815108089,-47.83588036948563,laranjal paulista,SP
14057,-21.135971797391647,-47.8479901588955,ribeirao preto,SP
96810,-29.72150384699069,-52.42857186120372,santa cruz do sul,RS
13272,-22.94376355363549,-46.99362279944068,valinhos,SP
82510,-25.3930631493162,-49.23730413350448,curitiba,PR
89801,-27.091818,-52.61680349999999,chapecó,SC
7178,-23.3974691246177,-46.39763012170352,guarulhos,SP
25665,-22.507880878955863,-43.214951915569394,petropolis,RJ
80010,-25.43027192921151,-49.26660256989238,curitiba,PR
96640,-29.990136801481345,-52.3770125094478,rio pardo,RS
90420,-30.038421792948245,-51.20003078088746,porto alegre,RS
8737,-23.536712050304008,-46.207755591118094,mogi das cruzes,SP
35720,-19.56539116697855,-44.06219061322148,matozinhos,MG
86300,-23.185253974481597,-50.65696390081656,cornelio procopio,PR
30130,-19.930804858445413,-43.936321456171584,belo horizonte,MG
3971,-23.614129540106177,-46.47816312239599,sao paulo,SP
89160,-27.22115514516126,-49.64556981329026,rio do sul,SC
29160,-20.2402761156018,-40.26873654892232,serra,ES
2066,-23.509393167836528,-46.60351726922744,sao paulo,SP
21320,-22.888050652518853,-43.34420745155526,rio de janeiro,RJ
4717,-23.63636422157689,-46.69683104942454,sao paulo,SP
75920,-17.786963999999948,-50.57043649999996,santa helena de goias,GO
30310,-19.945958909515863,-43.932188010560246,belo horizonte,MG
12308,-23.303201503593872,-45.96454354674382,jacareí,SP
13170,-22.82000128672114,-47.26978132017745,sumare,SP
11900,-24.50265347100232,-47.8425729970858,registro,SP
79002,-20.454977105747567,-54.60587932321533,campo grande,MS
97700,-29.18527916625308,-54.85772983957529,santiago,RS
5143,-23.49366138634657,-46.72206263488948,sao paulo,SP
12010,-23.024035548181818,-45.558290599870645,taubate,SP
93010,-29.76969915679189,-51.14321400517588,sao leopoldo,RS
38200,-20.028081651035663,-48.92339100015839,frutal,MG
90010,-30.029358216486813,-51.23005191049681,porto alegre,RS
29055,-20.30587102389044,-40.29576484805806,vitória,ES
21220,-22.841656428530214,-43.31717189687814,rio de janeiro,RJ
36570,-20.75606359452132,-42.87521523820955,vicosa,MG
6190,-23.531011732442742,-46.803843139765554,osasco,SP
25070,-22.7807793011117,-43.301013152682536,duque de caxias,RJ
5143,-23.496697917017688,-46.719354771856416,sao paulo,SP
18044,-23.514526519014343,-47.47450901762936,sorocaba,SP
5020,-23.531439625858447,-46.68175756385237,sao paulo,SP
9551,-23.62131484041201,-46.55460668082403,sao caetano do sul,SP
80330,-25.466548348866123,-49.30213856203471,curitiba,PR
20735,-22.90276085429047,-43.28919531709848,rio de janeiro,RJ
20540,-22.92551654123135,-43.24462953398932,rio de janeiro,RJ
30180,-19.9291187149576,-43.95380219652016,belo horizonte,MG
17900,-21.487440998819157,-51.53646903690297,dracena,SP
78300,-14.659390739284063,-57.466026552143184,tangara da serra,MT
35400,-20.385439412505978,-43.49374776703265,ouro preto,MG
8225,-23.53556549125743,-46.46668620483004,são paulo,SP
30160,-19.91779906170228,-43.935436257043285,belo horizonte,MG
1224,-23.54164848542905,-46.65280486372555,sao paulo,SP
88385,-26.790885193904742,-48.62709958838085,penha,SC
30150,-19.937030238415357,-43.9283029196434,belo horizonte,MG
4195,-23.658553344877276,-46.61315590781442,sao paulo,SP
3918,-23.58797560283337,-46.519344566189645,sao paulo,SP
20930,-22.889615081049072,-43.234126219256765,rio de janeiro,RJ
11320,-23.970524919494054,-46.36959603035533,sao vicente,SP
30570,-19.95306328294694,-43.98107478116229,belo horizonte,MG
90660,-30.06059541465176,-51.1979987976801,porto alegre,RS
6544,-23.460913299388324,-46.85266778343527,santana de parnaiba,SP
30260,-19.9285608820474,-43.91119106356392,belo horizonte,MG
35790,-18.74377936631264,-44.43486999816846,curvelo,MG
36500,-21.10450427231029,-42.96394089291139,uba,MG
18500,-23.04640332135325,-47.836830984733005,laranjal paulista,SP
14610,-20.44644859902165,-48.0180053901941,ipua,SP
38401,-18.89742739056445,-48.29566165137711,uberlandia,MG
31270,-19.854120174851424,-43.959463203849104,belo horizonte,MG
20930,-22.88668661289672,-43.22629815307703,rio de janeiro,RJ
13092,-22.906991503750906,-47.0419335,campinas,SP
3187,-23.559063789341565,-46.57831975243804,são paulo,SP
79150,-21.62965071341422,-55.1597193540713,maracaju,MS
38022,-19.7555267429773,-47.93987924589744,uberaba,MG
18300,-24.004362735693693,-48.3465126193728,capao bonito,SP
17512,-22.163008001280573,-49.94857711482154,marilia,SP
7810,-23.320919888616043,-46.76349181525072,franco da rocha,SP
30140,-19.93152079349651,-43.93041276449885,belo horizonte,MG
35400,-20.38032625451551,-43.51680965973221,ouro preto,MG
39100,-18.23963486388903,-43.60182630092477,diamantina,MG
18500,-23.06923128057385,-47.82829074210301,laranjal paulista,SP
37520,-22.250513088444364,-45.46319525424106,pedralva,MG
32678,-19.9319000291419,-44.099541738963616,betim,MG
14808,-21.816988019158583,-48.13695783166944,araraquara,SP
36033,-21.7854942850424,-43.36601092437529,juiz de fora,MG
84145,-24.94821302436606,-50.11880287584231,carambei,PR
24210,-22.90047136176052,-43.11998204108996,niteroi,RJ
52070,-8.024607932281123,-34.9197003702464,recife,PE
87030,-23.416808914888136,-51.92556988227155,maringa,PR
20550,-22.91999026005544,-43.22220115029715,rio de janeiro,RJ
14840,-21.37039035567868,-48.23413516204946,guariba,SP
32040,-19.922468065840437,-44.0749093402921,contagem,MG
4849,-23.85386715015292,-46.7062500910324,sao paulo,SP
9210,-23.63294421233187,-46.53373750943505,santo andre,SP
89600,-27.17062501693688,-51.50613245282469,joacaba,SC
18206,-23.611114958531605,-48.06147247541357,itapetininga,SP
25015,-22.791263276347767,-43.31672696401939,duque de caxias,RJ
13930,-22.6048298731606,-46.70613930904841,serra negra,SP
11730,-24.10308135497589,-46.65472650292143,mongagua,SP
20550,-22.91614802305372,-43.23029826908648,rio de janeiro,RJ
13520,-22.54457265621889,-47.90059024257072,são pedro,SP
36420,-20.531856607130965,-43.71511674075016,ouro branco,MG
31035,-19.899246122944252,-43.91757669525075,belo horizonte,MG
38440,-18.655690019035696,-48.184261073109546,araguari,MG
30431,-19.935173232298517,-43.96408914002537,belo horizonte,MG
95200,-28.620893450409604,-51.04321308303557,vacaria,RS
11900,-24.49815873105776,-47.8540871297536,registro,SP
29101,-20.32939861265713,-40.2799987305859,vila velha,ES
25780,-22.14739080042253,-42.92450537997665,são josé do vale do rio preto,RJ
18681,-22.597039303684426,-48.78322131626626,lencois paulista,SP
85801,-24.958250434358597,-53.4632542048587,cascavel,PR
4438,-23.672002524567016,-46.66913364026612,sao paulo,SP
13330,-23.07473482365588,-47.20412642528448,indaiatuba,SP
38195,-19.93617402521064,-47.54311987797056,conquista,MG
35960,-19.960539197422023,-43.40792770725918,santa barbara,MG
22410,-22.98446304302037,-43.21422328031053,rio de janeiro,RJ
6542,-23.47515897266035,-46.86705626292081,santana de parnaiba,SP
22730,-22.920252746609663,-43.366210633764304,rio de janeiro,RJ
19804,-22.66664390481266,-50.43575795796057,assis,SP
56000,-8.068941156422515,-39.120705379609866,salgueiro,PE
45653,-14.797891692373984,-39.03263873763577,ilheus,BA
26525,-22.80810244826752,-43.42317527553308,nilopolis,RJ
29290,-20.868974999999992,-40.941081,rio novo do sul,ES
35701,-19.47755134409172,-44.24882027493537,sete lagoas,MG
6765,-23.614331051399017,-46.78001178269458,taboao da serra,SP
13320,-23.204533808500155,-47.29646690536094,salto,SP
24360,-22.92080861944341,-43.09368761944342,niterói,RJ
89012,-26.912052419095158,-49.07961216902303,blumenau,SC
14784,-20.573920500404267,-48.54713144227844,barretos,SP
9910,-23.693172055513845,-46.62758506134223,diadema,SP
38610,-16.369666104440647,-46.88844177938213,unai,MG
6852,-23.711999038621556,-46.85931236190325,itapecerica da serra,SP
95020,-29.16884498762129,-51.17543264642744,caxias do sul,RS
22070,-22.981997493479124,-43.19113350098096,rio de janeiro,RJ
32223,-19.95839502533486,-44.035192411225566,contagem,MG
38610,-16.36947077475463,-46.88794231004625,unai,MG
14802,-21.780194460377903,-48.190014705092686,araraquara,SP
82640,-25.37100047155059,-49.2397722187085,curitiba,PR
4117,-23.58972250375091,-46.62647032944776,sao paulo,SP
5374,-23.57795309186912,-46.75814951249347,são paulo,SP
78556,-11.864596739840197,-55.529365241777874,sinop,MT
9371,-23.675085000000003,-46.471959766854326,maua,SP
4726,-23.63416334110451,-46.71416132653354,sao paulo,SP
83880,-26.08176564331912,-49.81798204696452,rio negro,PR
22780,-22.96874402664229,-43.39862745826041,rio de janeiro,RJ
74915,-16.73860542851114,-49.270203391194265,aparecida de goiania,GO
4850,-23.74966972938433,-46.67685045406543,sao paulo,SP
9080,-23.63199077841407,-46.546278907748594,santo andre,SP
9950,-23.68772666723403,-46.58369967586103,diadema,SP
26087,-22.712772488731687,-43.5310582849396,nova iguacu,RJ
39270,-17.34307139913931,-44.92704419337095,pirapora,MG
22250,-22.94168746849216,-43.17306693381035,rio de janeiro,RJ
5414,-23.564844,-46.67999174999999,sao paulo,SP
18540,-23.2000649468175,-47.52130048909916,porto feliz,SP
13405,-22.706567802094845,-47.67284539716662,piracicaba,SP
11250,-23.792126158189323,-46.02211021417138,bertioga,SP
28740,-22.078458389252805,-41.87075038695605,conceicao de macabu,RJ
9821,-23.754591275422783,-46.554812236171614,sao bernardo do campo,SP
5351,-23.562731503750918,-46.7556109941716,sao paulo,SP
89801,-27.093520844602438,-52.609265242735496,chapeco,SC
36570,-20.73660240081679,-42.86087672814005,vicosa,MG
37925,-20.475565432584386,-45.95940836228145,piumhii,MG
89560,-27.010512360418872,-51.15015038752958,videira,SC
33600,-19.649499987680944,-44.05794211254637,pedro leopoldo,MG
89224,-26.267894634835955,-48.89185029306233,joinville,SC
85504,-26.226112840511604,-52.66655452988211,pato branco,PR
56000,-8.070541063892247,-39.12396422655332,salgueiro,PE
69918,-9.926145000000002,-67.83511725,rio branco,AC
31573,-19.80870967370089,-43.98942694579767,belo horizonte,MG
24241,-22.90327645432524,-43.095842109902506,niteroi,RJ
8790,-23.531129518335824,-46.16811388252825,mogi das cruzes,SP
80610,-25.471421740826965,-49.29236043330176,curitiba,PR
11730,-24.129977298740084,-46.6964222537597,mongagua,SP
22743,-22.927657290009694,-43.34342328393373,rio de janeiro,RJ
